,ITEM NAME ,CATEGORY,UOM,QTY,TOTAL COST,UNIT PRICE,RETAIL,WHOLESALE,EXPIRY DATE,SUPPLIER
49325782,SEPTOTRYL - INJECTION 25.1 TO 30KG,CLINIC/LAB/MEDS,SERVICING,,,308.52,700,,,NUVETUS
22943941,SEPTOTRYL - INJECTION 30.1 TO 35KG,CLINIC/LAB/MEDS,SERVICING,,,359.94,850,,,NUVETUS
14216954,SEPTOTRYL - INJECTION 35.1 TO 40KG,CLINIC/LAB/MEDS,SERVICING,,,411.36,900,,,NUVETUS
85242524,SEPTOTRYL - INJECTION 40.1 TO 45KG,CLINIC/LAB/MEDS,SERVICING,,,462.78,1000,,,NUVETUS
68061012,SEPTOTRYL - INJECTION 45.1 TO 50KG,CLINIC/LAB/MEDS,SERVICING,,,514.20,1100,,,NUVETUS
9334214023960,SHEBA - SUCCALANT CHICKEN BREAST 85g can,WET CAT FOOD,PIECES,6,410,68.33,90,,,PEDIGREE AND WHISKAS
9334214036472,SHEBA - TUNA & SALMON IN GRAVY 85g can,WET CAT FOOD,PIECES,6,410,68.33,90,,,PEDIGREE AND WHISKAS
9334214024998,SHEBA POUCH - TUNA & CRAB STICK (70G),WET CAT FOOD,PIECES,12,520,43.33,64,,,PEDIGREE AND WHISKAS
9334214025018,SHEBA POUCH - TUNA CHICKEN & BONITO,WET CAT FOOD,PIECES,12,520,43.33,64,,,PEDIGREE AND WHISKAS
8851393003725,SHEBA STICK - KATSUO & SALMON (12G),CAT TREAT,PIECES,6,435.6,74.16,125,,,PEDIGREE AND WHISKAS
8851393003695,SHEBA STICK - TUNA (12G),CAT TREAT,PIECES,6,435.6,72.60,120,,,PEDIGREE AND WHISKAS
55944977,SHOES ACL MESH STRAP S-2,SUPPLY AND ACCESSORIES,PIECES,1,180,180,360,,,
31481465,SHOES STRAP DENIM,SUPPLY AND ACCESSORIES,PIECES,1,200,200,430,,,
21636691,SHOES WITH LACE,SUPPLY AND ACCESSORIES,PIECES,2,300,150,340,,,
84484192,SILICON PET PORTABLE FOOD BOWL - GREEN,SUPPLY AND ACCESSORIES,PIECES,1,38,38,150,,,PET & HOME PH
73367369,SILICON PET PORTABLE FOOD BOWL - PINK,SUPPLY AND ACCESSORIES,PIECES,1,38,38,150,,,PET & HOME PH
83789779,SILICON PET PORTABLE FOOD BOWL - BLUE,SUPPLY AND ACCESSORIES,PIECES,2,76,38.00,150,,,PET & HOME PH
32424379,SILICON PET PORTABLE FOOD BOWL - YELLOW,SUPPLY AND ACCESSORIES,PIECES,2,76,38.00,150,,,PET & HOME PH
5414736055596,SIMPARICA TRIO (M) 5KG TO 10KG - BOX,CLINIC/LAB/MEDS,BOX,2,1865.51,,2150,,1 Aug 2026,NUVETUS
52423246,SIMPARICA TRIO (M) 5KG TO 10KG - PER PIECE,CLINIC/LAB/MEDS,PIECES,6,621.83,,750,,1 Aug 2026,NUVETUS
5414736055602,SIMPARICA TRIO (S) 2.5KG TO 5KG - BOX,CLINIC/LAB/MEDS,BOX,2,1707.84,,1850,,1 Apr 2026,NUVETUS
67776825,SIMPARICA TRIO (S) 2.5KG TO 5KG - PER PIECE,CLINIC/LAB/MEDS,PIECES,6,569.28,,650,,1 Apr 2026,NUVETUS
